"ID";"BTS"
"15";"WDWE"
"15";"WSEI"
"15";"WGRA"
"15";"WLO"
"15";"WGRG"
"15";"WNAS"
"15";"BSAH"
"15";"BOR"
"15";"BBOD"
"15";"BBI N"
"15";"BBI"
"15";"WRD"
"151";"KG  H"
"151";"KGS"
"151";"KPR"
"151";"KT  V"
"151";"KT  N"
"151";"KT"
"151";"KSIB"
"151";"KHEN"
"151";"KHES"
"151";"KBLB"
"151";"KMES"
"151";"KEIT"
"151";"KHEC"
"151";"KDAT"
"151";"KSLA"
"151";"KROS"
"151";"KAU"
"151";"KQAU"
"151";"EEZB"
"151";"EEZK"
"151";"EKAU"
"151";"EWIN"
"151";"ENDV"
"151";"ESCF"
"151";"EBZ"
"151";"EKIR"
"151";"EFBU"
"151";"EBRB"
"151";"EMUD"
"151";"EQND"
"151";"ENDN"
"151";"ENDO"
"151";"EEFD"
"151";"ESIE"
"151";"ESIG"
"151";"KG  C"
"153";"KG  H"
"153";"KGS"
"153";"KPR"
"153";"KT  V"
"153";"KT"
"153";"KFWH"
"153";"KMD"
"153";"KBB"
"153";"KBO"
"153";"KND"
"153";"KKOW"
"153";"KRHD"
"153";"KHBD"
"153";"KQHB"
"153";"YDFHU"
"153";"KUN"
"153";"KERP"
"153";"KLI"
"153";"KLEU"
"153";"KHGB"
"153";"KRBR"
"153";"KLET"
"153";"KNE"
"153";"KNE G"
"153";"KENR"
"153";"KBEN"
"153";"KVA"
"153";"KKOE"
"153";"KPFD"
"153";"YFFNL"
"153";"KNL N"
"153";"KNL"
"153";"KOL"
"153";"KOL G"
"153";"KBRB"
"153";"KOSS"
"153";"FFI"
"153";"FKMP"
"153";"FKES"
"153";"FSGH"
"153";"FLY"
"153";"FKAU"
"153";"FQLO"
"153";"FLON"
"153";"FLOR"
"153";"FLOU"
"153";"FAH"
"153";"FRDH"
"153";"FGSM"
"153";"FOE"
"153";"FHAT"
"153";"FERB"
"153";"FELT"
"153";"FELTO"
"153";"FNWF"
"153";"FWS"
"153";"FWB"
"153";"FWB A"
"153";"FWO G"
"153";"FWO B"
"153";"FMK"
"153";"FKOS"
"153";"FKOO"
"153";"FMB P"
"153";"FMB W"
"153";"FMB M"
"153";"KG  C"
"155B";"FMB O"
"155B";"FMB A"
"155B";"FNU"
"155B";"FGER"
"155B";"FDG"
"155B";"FDOH"
"155B";"FLW"
"155B";"FGE"
"155B";"FSTR"
"155B";"FBBM"
"155B";"FGHM"
"155B";"FGRO"
"155B";"FBL"
"155B";"FBST"
"155B";"FBUP"
"155B";"FLP"
"155B";"YFRML"
"155B";"RQMW"
"155B";"RMW G"
"155B";"RMW"
"155B";"RMKL"
"155B";"RRE"
"155B";"RMR K"
"155B";"RMR E"
"157";"KKOLM"
"157";"KKOL"
"157";"KKSM"
"157";"KKO"
"157";"KKOB"
"157";"KRHE"
"157";"KSPA"
"157";"KBOP"
"157";"KSAL"
"157";"KHIR"
"157";"FWER"
"157";"FSGO"
"157";"FURBN"
"157";"FURBS"
"157";"FOBW"
"157";"FBCH"
"157";"FNDH"
"157";"FTRE"
"157";"FBGKV"
"157";"FBGK"
"157";"FBGN"
"157";"FBGG"
"157";"FGAL"
"157";"FIL"
"157";"FHEI"
"157";"FUR"
"157";"FBUD"
"157";"FMM"
"157A";"KKE A"
"157A";"KKE K"
"157A";"KKAS"
"157A";"KKASS"
"157A";"KBR G"
"157A";"KBR P"
"157A";"KSEC"
"157A";"KROI"
"157A";"KB  G"
"157A";"KB"
"157A";"KBBN"
"157A";"KBBG"
"157A";"KBM"
"157A";"KNEW"
"157A";"KQNE"
"157A";"YDFNR"
"157A";"KROL"
"157A";"KOWI"
"157A";"KRE"
"157A";"KSIZ"
"157A";"KBRE"
"157A";"KBRO"
"157A";"KNAM"
"157A";"KNAMN"
"157A";"KAND"
"157A";"KWEH"
"157A";"KUR"
"157A";"KKOLN"
"157A";"KKOLM"
"157B";"FMM"
"157B";"FMZ A"
"157B";"FMZ"
"157B";"FMS"
"157B";"FMWG"
"157B";"FML"
"157B";"FBOD"
"157B";"FNAC"
"157B";"FNIR"
"157B";"FOPP"
"157B";"FGUB"
"157B";"FAHM"
"157B";"FMET"
"157B";"YFKMO"
"157B";"FOHF"
"157B";"FWORE"
"157B";"FWOR"
"157B";"RBOB"
"157B";"RFT"
"157B";"RLO"
"157B";"RRK"
"157B";"RL  N"
"157B";"RL"
"157B";"RL  S"
"157B";"RLSM"
"157B";"RQL"
"157B";"RM"
"157B";"RM  O"
"157B";"RMR W"
"157B";"RMR K"
"157B";"RMR G"
"157B";"RQLM"
"161";"KKOLM"
"161";"KKOL"
"161";"KKOM"
"161";"SKOW"
"161";"SGS"
"161";"SWI"
"161";"SKG"
"161";"SLE"
"161";"SKTS"
"161";"SLF"
"161";"SHZ"
"161";"SMK"
"161";"SMD"
"161";"STK"
"161";"SPOM"
"161";"SKT"
"161";"SCOC"
"161";"SEE"
"161";"SNF"
"161";"SBY"
"161";"SPDR"
"161";"SBG"
"161";"SUG"
"161";"SWIH"
"161";"SSMR"
"161";"SSMT"
"161";"SSE"
"161";"SHR"
"161";"SFOE"
"161";"SSWE"
"161";"SQI"
"161";"SEGO"
"161";"SEG"
"161";"SEG N"
"163A";"FGB"
"163A";"FGL"
"163A";"FLGS"
"163A";"FKGS"
"163A";"FBZ"
"163A";"FOM"
"163A";"FBNA"
"163A";"FFG"
"163A";"FFG H"
"163A";"FAS"
"163A";"FHWD"
"163A";"FOS"
"163A";"FBK"
"163A";"FHN"
"163A";"FRW"
"163A";"FGK"
"163A";"FQKL"
"163A";"FKLM"
"163A";"FDET"
"163A";"FRS"
"163A";"FKO"
"163A";"FSTE"
"163A";"NAH A"
"163A";"NAH"
