"TrainNumber";"connectingIDs"
43109;"43109-100-Hü#43109-710-HW#43109-710-hw#43109-571-si#43109-571-js#43109-91-rz#43109-91-he#43109-91-sü#43109-710-ja"
43158;"43158-0-ja#43158-0-sü#43158-1-sü#43158-0-Ot#43158-0-rz#43158-0-js#43158-0-su#43158-0-vk#43158-0-An"
43159;"43159-20-An#43159-276-He#43159-302-hv#43159-301-js#43159-302-js#43159-276-rz#43159-277-rz#43159-276-Ot#43159-276-sü#43159-276-ja"
43160;"43160-238-Hc#43160-239-Hc#43160-238-te#43160-238-Ot#43160-238-rz#43160-855-js#43160-855-si#43160-856-si#43160-380-Hü#43160-80-we"
43171;"43171-30-si#43171-30-ak#43171-30-Hü#43171-243-Si#43171-243-js#43171-243-rz#43171-243-ot#43171-243-te#43171-243-Ar#43171-244-Ar"
43220;"43220-0-Sü#43220-1-Sü#43220-0-ot#43220-0-rz#43220-0-js#43220-0-si#43220-855-si#43220-380-Hü#43220-80-we"
43221;"43221-80-we#43221-80-Hü#43221-855-hw#43221-855-si#43221-855-js#43221-238-rz#43221-238-ot#43221-238-Sü"
43229;"43229-80-we#43229-80-Hü#43229-81-Hü#43229-855-hw#43229-855-si#43229-855-js#43229-29-rz#43229-29-ot#43229-29-sü"
43230;"43230-276-sü#43230-276-Ot#43230-276-rz#43230-855-js#43230-276-si#43230-855-si#43230-80-Hü#43230-61-Hü#43230-60-ak#43230-60-si"
43231;"43231-80-we#43231-80-Hü#43231-81-Hü#43231-238-si#43231-23-js#43231-238-rz#43231-238-Ot#43231-238-sü"
43240;"43240-612-sü#43240-600-sü#43240-600-Br#43240-600-te#43240-600-ab#43240-602-hv#43240-310-An"
43245;"43245-20-Sh#43245-276-He#43245-276-js#43245-276-rz#43245-276-Ot#43245-276-sü"
43248;"43248-175-sü#43248-845-Br#43248-845-te#43248-845-ab#43248-801-SU#43248-801-VK#43248-10-Hn"
43249;"43249-81-Be#43249-80-Be#43249-80-we#43249-80-Hü#43249-855-si#43249-238-js#43249-238-rz#43249-238-ot#43249-238-sü"
43250;"43250-185-sü#43250-805-Br#43250-805-te#43250-805-ab#43250-801-Su#43250-801-Vk#43250-10-Hn"
43257;"43257-320-An#43257-603-He#43257-603-js#43257-276-rz#43257-276-Ot#43257-276-ro#43257-277-ro"
43556;"43556-5-kr#43556-101-wn#43556-101-hw#43556-201-hw#43556-50-Ky#43556-50-Bw#43556-50-Mz#43556-51-Mz"
43658;"43658-309-Bj#43658-309-Ar#43658-309-ab#43658-602-su#43658-602-He#43658-310-An#43658-310-Mz#43658-311-Mz#43658-310-Bw"
43661;"43661-10-Bw#43661-10-Mz#43661-10-Sh#43661-39-He#43661-39-hv#43661-309-ab#43661-309-Hc#43661-309-Bj#43661-310-Bj"
43663;"43663-310-Bw#43663-310-Mz#43663-310-An#43663-601-He#43663-603-hv#43663-309-ab#43663-309-Ar#43663-300-Bj#43663-301-Bj"
43664;"43664-309-Bj#43664-309-Ar#43664-309-ab#43664-602-su#43664-602-He#43664-310-An#43664-310-Mz#43664-310-Bw"
43669;"43669-1-Hn#43669-0-Hn#43669-0-vk#43669-0-hv"
43670;"43670-0-Bj#43670-0-Ar#43670-0-ab#43670-0-hv#43670-0-He#43670-0-An"
43681;"43681-10-An#43681-96-He#43681-241-ab#43681-241-Ar#43681-241-Bj"
43682;"43682-241-Bj#43682-241-Ar#43682-241-ab#43682-96-hv#43682-10-An#43682-11-An"
43700;"43700-141-Bj#43700-141-Hc#43700-141-ab#43700-227-hv#43700-227-vk#43700-20-Hn"
43701;"43701-10-An#43701-0-He#43701-0-ab#43701-0-Hc#43701-0-Bj"
43710;"43710-0-Bj#43710-0-Ar#43710-0-ab#43710-0-su#43710-0-He#43710-0-An#43710-0-Hn#43710-1-Hn"
43711;"43711-1-Hn#43711-0-Hn#43711-0-An#43711-0-He#43711-0-hv#43711-0-ab#43711-0-Ar#43711-0-Bj"
43721;"43721-11-Hn#43721-10-Hn#43721-12-Hn#43721-215-He#43721-215-hv#43721-215-ab#43721-215-Hc#43721-215-Bj#43721-216-Bj"
43762;"43762-268-Hc#43762-268-ab#43762-238-hv#43762-855-js#43762-855-si#43762-80-Hü#43762-80-we#43762-80-ts#43762-3-hm"
43854;"43854-276-ja#43854-276-Sü#43854-276-ot#43854-276-rz#43854-276-js#43854-276-hv#43854-276-vk"
43901;"43901-10-Mz#43901-10-An#43901-29-He#43901-29-js#43901-29-rz#43901-2-rz#43901-2-Fc#43901-29-Ec"
43932;"43932-276-Ec#43932-276-tr#43932-276-rz#43932-276-js#43932-276-hv#43932-10-An#43932-10-Mz"
